"","Species","Volume","Body_size"
"3","Het1",4593.82,0.404118441693333
"9","Het1",2009.6,0.307489145106667
"15","Het1",1318.8,0.348472076370417
"18","Het1",2833.85,0.279199651348333
"24","Het1",2419.89333333333,0.485565235138333
"29","Het1",1025.73333333333,0.54501021291
"34","Het1",1966.16333333333,0.443253293445
"39","Het1",1238.20666666667,0.42454041889625
"43","Het1",1128.30666666667,0.357397086639583
"51","Het1",2402.1,0.50796447407
"53","Het1",828.96,0.335791311381667
"58","Het1",5055.4,0.608388829345
"62","Het1",2009.6,0.35557018034375
"69","Het1",2260.8,0.12952952474
"72","Het1",3684.26666666667,0.396875150334583
"79","Het1",1436.02666666667,0.277523252186667
